Model,Accuracy,Precision,Recall,F1-Score
DT - One-hot Encoding,0.8722275795564127,0.8725516496273588,0.8722275795564127,0.8723692105023462
DT - Label Encoder,0.8715043394406943,0.8722754464494373,0.8715043394406943,0.8718306973464575
RF - One-hot Encoding,0.8922372227579557,0.8923711582699104,0.8922372227579557,0.8920084714105764
RF - Label Enconder,0.8975409836065574,0.8974245744454016,0.8975409836065574,0.8972738902286007
GBT - One-hot Encoding,0.9023625843780135,0.9022768178415596,0.9023625843780135,0.9022288749601429
GBT - Label Encoder,0.9040501446480231,0.903949684404135,0.9040501446480231,0.9039237671852157
