Model,Accuracy,Precision,Recall,F1-Score
DT - One-hot Encoding,0.8769267822736031,0.8776747771897105,0.8769267822736031,0.8772119030421864
DT - Label Encoder,0.8736559139784946,0.8741988119473172,0.8736559139784946,0.8729885570897457
RF - One-hot Encoding,0.8961946050096339,0.8964587075067637,0.8961946050096339,0.8961033830194906
RF - Label Enconder,0.9039589442815249,0.9042020312206133,0.9039589442815249,0.9038687196111179
GBT - One-hot Encoding,0.9039017341040463,0.903967310347953,0.9039017341040463,0.9039172713993429
GBT - Label Encoder,0.9046920821114369,0.9047017240294102,0.9046920821114369,0.9045703772680266
