Model,Accuracy,Precision,Recall,F1-Score
DT - One-hot Encoding,0.8769267822736031,0.8776747771897105,0.8769267822736031,0.8772119030421864
DT - Label Encoder,0.875,0.8758744845964783,0.875,0.8753422238239545
RF - One-hot Encoding,0.8961946050096339,0.8964587075067637,0.8961946050096339,0.8961033830194906
RF - Label Enconder,0.8998073217726397,0.9000259934376759,0.8998073217726397,0.89976314395441
GBT - One-hot Encoding,0.9039017341040463,0.903967310347953,0.9039017341040463,0.9039172713993429
GBT - Label Encoder,0.9026974951830443,0.9028772612666218,0.9026974951830443,0.902776803441786
